Date,open,high,low,close,volume,dividends,stock splits,capital gains,sma_10,sma_20,sma_50,ema_10,ema_20,sma_cross_10_20,sma_cross_20_50,returns,log_returns,volatility_10,volatility_20,rsi_14,macd,ema_12,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,bb_position,hl_range,oc_range,volume_sma_10,volume_ratio,close_lag_1,returns_lag_1,close_lag_2,returns_lag_2,close_lag_3,returns_lag_3,close_lag_5,returns_lag_5,close_lag_10,returns_lag_10,close_mean_5,close_std_5,close_min_5,close_max_5,close_mean_10,close_std_10,close_min_10,close_max_10,close_mean_20,close_std_20,close_min_20,close_max_20,day_of_week,month,quarter,target
2015-11-24 00:00:00-05:00,103.1200027,103.25,102.6900024,102.9400024,3479600,0,0,0,103.1569992,105.0614998,108.0771999,103.4524572,104.8900369,-1.90450058,-3.015700073,0.006649719,0.006627707,0.006944469,0.006797732,30.50194908,-1.796150999,-1.796150999,-1.688419953,-0.107731046,105.0614998,110.3267802,99.79621939,0.100232348,0.298538997,0.005440038,-0.001745542,4822170,0.721583851,102.2600021,-0.008051161,103.0899963,-0.004538444,103.5599976,0.011031897,102.3399963,-0.013209939,104.1800003,-0.002107291,102.8559998,0.522999152,102.2600021,103.5599976,103.1569992,0.633860004,102.2600021,103.8499985,105.0614998,2.632640199,102.2600021,110.7799988,1,11,4,102.4599991
2015-11-25 00:00:00-05:00,102.4700012,102.6900024,102.2099991,102.4599991,2931300,0,0,0,103.0199989,104.6454998,107.9801999,103.2720103,104.6586047,-1.62550087,-3.334700089,-0.004662943,-0.004673848,0.00700202,0.006734296,29.9242552,-1.765869606,-1.765869606,-1.703909884,-0.061959723,104.6454998,109.2860658,100.0049338,0.088691171,0.26452218,0.004684788,-9.76E-05,4762540,0.615490894,102.9400024,0.006649719,102.2600021,-0.008051161,103.0899963,-0.004538444,102.4300003,0.00087946,103.8300018,-0.003359555,102.8619995,0.5170284,102.2600021,103.5599976,103.0199989,0.620142674,102.2600021,103.8499985,104.6454998,2.320282984,102.2600021,109.7200012,2,11,4,101.25
2015-11-27 00:00:00-05:00,101.0100021,101.6200027,100.9899979,101.25,4993600,0,0,0,102.7599991,104.2219997,107.8369998,102.904372,104.3339757,-1.462000656,-3.615000076,-0.011809478,-0.011879764,0.007709619,0.006851644,31.22531631,-1.818545142,-1.818545142,-1.726836935,-0.091708207,104.2219997,108.4393164,100.0046831,0.08092949,0.147643276,0.00622227,0.002375981,4631850,1.078100543,102.4599991,-0.004662943,102.9400024,0.006649719,102.2600021,-0.008051161,103.5599976,0.011031897,103.8499985,0.00019259,102.4,0.726876344,101.25,103.0899963,102.7599991,0.762247422,101.25,103.7099991,104.2219997,2.108658311,101.25,109.3000031,4,11,4,101.9199982
2015-11-30 00:00:00-05:00,101.5299988,102.3799973,101.5199966,101.9199982,6773000,0,0,0,102.5959991,103.8529995,107.6911998,102.725395,104.1040731,-1.257000351,-3.838200302,0.006617266,0.006595468,0.008227542,0.007250828,34.42208767,-1.78564384,-1.78564384,-1.738598316,-0.047045524,103.8529995,107.4445752,100.2614238,0.069166529,0.230897875,0.008437997,0.003841223,4986730,1.358204675,101.25,-0.011809478,102.4599991,-0.004662943,102.9400024,0.006649719,103.0899963,-0.004538444,103.5599976,-0.002792498,102.1660004,0.631253622,101.25,102.9400024,102.5959991,0.747279092,101.25,103.7099991,103.8529995,1.795787873,101.25,108.5899963,0,11,4,102.2799988
2015-12-01 00:00:00-05:00,102.3000031,102.4300003,101.8099976,102.2799988,4645900,0,0,0,102.4529991,103.5374996,107.5661998,102.6444138,103.9303517,-1.084500504,-4.02870018,0.003532188,0.003525965,0.008337974,0.007375802,38.27159331,-1.710799252,-1.710799252,-1.733038503,0.022239251,103.5374996,106.4145089,100.6604903,0.055574247,0.281456937,0.006061818,-0.000195545,5156200,0.901031768,101.9199982,0.006617266,101.25,-0.011809478,102.4599991,-0.004662943,102.2600021,-0.008051161,103.7099991,0.00144845,102.1699997,0.63206089,101.25,102.9400024,102.4529991,0.639461984,101.25,103.5599976,103.5374996,1.438504639,101.25,106.9800034,1,12,4,100.6900024
2015-12-02 00:00:00-05:00,101.3499985,101.3499985,100.5299988,100.6900024,10223500,0,0,0,102.2879997,103.2229996,107.4241998,102.2890663,103.621747,-0.934999847,-4.201200256,-0.015545526,-0.015667624,0.008730387,0.007438173,33.19057484,-1.759501357,-1.759501357,-1.738331074,-0.021170283,103.2229996,105.882474,100.5635252,0.051528717,0.023778618,0.008143804,-0.006512048,5319240,1.921985096,102.2799988,0.003532188,101.9199982,0.006617266,101.25,-0.011809478,102.9400024,0.006649719,102.3399963,-0.013209939,101.7199997,0.738747507,100.6900024,102.4599991,102.2879997,0.850055182,100.6900024,103.5599976,103.2229996,1.329737191,100.6900024,105.9700012,2,12,4,101.7600021
2015-12-03 00:00:00-05:00,101.2300034,101.9700012,100.8499985,101.7600021,6499900,0,0,0,102.2209999,103.0124996,107.2949998,102.1928728,103.444438,-0.79149971,-4.282500229,0.010626673,0.010570606,0.009542997,0.007864705,39.9422692,-1.692250878,-1.692250878,-1.729115035,0.036864157,103.0124996,105.4100404,100.6149589,0.04654854,0.238795371,0.011006316,0.00523559,5464850,1.189401356,100.6900024,-0.015545526,102.2799988,0.003532188,101.9199982,0.006617266,102.4599991,-0.004662943,102.4300003,0.00087946,101.5800003,0.620280878,100.6900024,102.2799988,102.2209999,0.86391048,100.6900024,103.5599976,103.0124996,1.198770374,100.6900024,105.6399994,3,12,4,104.0199966
2015-12-04 00:00:00-05:00,102.7399979,104.2099991,102.6500015,104.0199966,10670200,0,0,0,102.2669998,102.9314995,107.1655998,102.5250772,103.4992531,-0.664499664,-4.234100342,0.022209065,0.021966035,0.011510447,0.009535974,51.86083878,-1.439992383,-1.439992383,-1.671290504,0.231298121,102.9314995,105.0483011,100.8146979,0.041130297,0.757108925,0.014997093,0.012458622,6023110,1.771543272,101.7600021,0.010626673,100.6900024,-0.015545526,102.2799988,0.003532188,101.25,-0.011809478,103.5599976,0.011031897,102.1339996,1.209245541,100.6900024,104.0199966,102.2669998,0.950987001,100.6900024,104.0199966,102.9314995,1.058400793,100.6900024,104.4000015,4,12,4,102.6699982
2015-12-07 00:00:00-05:00,103.3199997,103.3700027,102.5,102.6699982,4393500,0,0,0,102.225,102.8599995,107.0227998,102.5514264,103.4202764,-0.634999466,-4.162800369,-0.012978259,-0.013063213,0.012209351,0.009419713,46.16518552,-1.333635979,-1.333635979,-1.603759599,0.270123621,102.8599995,104.906037,100.8139619,0.039782958,0.453568472,0.008473778,-0.006291149,5865300,0.749066544,104.0199966,0.022209065,101.7600021,0.010626673,100.6900024,-0.015545526,101.9199982,0.006617266,103.0899963,-0.004538444,102.2839996,1.222507354,100.6900024,104.0199966,102.225,0.91934947,100.6900024,104.0199966,102.8599995,1.023018767,100.6900024,104.4000015,0,12,4,102.8399963
2015-12-08 00:00:00-05:00,103.1299973,103.2600021,102.5299988,102.8399963,3412300,0,0,0,102.2829994,102.7819992,106.9111998,102.6038937,103.3650117,-0.498999786,-4.129200592,0.001655773,0.001654403,0.011910486,0.00939949,52.02265612,-1.221549073,-1.221549073,-1.527317494,0.305768421,102.7819992,104.6954911,100.8685073,0.037233989,0.515154789,0.007098438,-0.002811994,5802280,0.588096403,102.6699982,-0.012978259,104.0199966,0.022209065,101.7600021,0.010626673,102.2799988,0.003532188,102.2600021,-0.008051161,102.3959991,1.247446772,100.6900024,104.0199966,102.2829994,0.939869202,100.6900024,104.0199966,102.7819992,0.956745952,100.6900024,104.1800003,1,12,4,102.6399994
